item_id,date,steps
p04,2020-02-03,21213.0
p04,2020-02-04,12657.0
p04,2020-02-05,12630.0
p04,2020-02-06,12338.0
p04,2020-02-07,7382.0
p04,2020-02-08,7683.0
p04,2020-02-09,5208.0
p04,2020-02-10,7409.0
p04,2020-02-11,14886.0
p04,2020-02-12,14637.0
p04,2020-02-13,11953.0
p04,2020-02-14,4638.0
p04,2020-02-15,7792.0
p04,2020-02-16,6002.0
p04,2020-02-17,9639.0
p04,2020-02-18,12997.0
p04,2020-02-19,8727.0
p04,2020-02-20,11174.0
p04,2020-02-21,12973.0
p04,2020-02-22,8584.0
p04,2020-02-23,153.0
p04,2020-02-24,15304.0
p04,2020-02-25,13344.0
p04,2020-02-26,13680.0
p04,2020-02-27,15236.0
p04,2020-02-28,9925.0
p04,2020-02-29,13963.0
p04,2020-03-01,10447.0
p04,2020-03-02,273.0
p04,2020-03-03,6684.0
p04,2020-03-04,7560.0
p04,2020-03-05,5810.0
p04,2020-03-06,7294.0
p04,2020-03-07,7034.0
p04,2020-03-08,7091.0
p04,2020-03-09,16648.0
p04,2020-03-10,17067.0
p04,2020-03-11,9763.0
p04,2020-03-12,7080.0
p04,2020-03-13,14138.0
p04,2020-03-14,6427.0
p04,2020-03-15,5914.0
p04,2020-03-16,5684.0
p04,2020-03-17,7855.0
p04,2020-03-18,9610.0
p04,2020-03-19,7195.0
p04,2020-03-20,8379.0
p04,2020-03-21,1718.0
p04,2020-03-22,9010.0
p04,2020-03-23,12666.0
p04,2020-03-24,10418.0
p04,2020-03-25,9107.0
p04,2020-03-26,10188.0
p04,2020-03-27,7149.0
p04,2020-03-28,13075.0
p04,2020-03-29,7970.0
p04,2020-03-30,9210.0
p04,2020-03-31,488.0
p05,2019-11-01,14306.0
p05,2019-11-02,13349.0
p05,2019-11-03,9037.0
p05,2019-11-04,13240.0
p05,2019-11-05,14898.0
p05,2019-11-06,11297.0
p05,2019-11-07,19247.0
p05,2019-11-08,12376.0
p05,2019-11-09,11928.0
p05,2019-11-10,1046.0
p05,2019-11-11,1046.0
p05,2019-11-12,3836.0
p05,2019-11-13,13899.0
p05,2019-11-14,12427.0
p05,2019-11-15,16259.0
p05,2019-11-16,7808.0
p05,2019-11-17,13590.0
p05,2019-11-18,9090.0
p05,2019-11-19,13253.0
p05,2019-11-20,14021.0
p05,2019-11-21,12718.0
p05,2019-11-22,13553.0
p05,2019-11-23,9188.0
p05,2019-11-24,10260.0
p05,2019-11-25,8388.0
p05,2019-11-26,9234.0
p05,2019-11-27,13224.0
p05,2019-11-28,10623.0
p05,2019-11-29,11829.0
p05,2019-11-30,16879.0
p05,2019-12-01,14397.0
p05,2019-12-02,8942.0
p05,2019-12-03,9870.0
p05,2019-12-04,13212.0
p05,2019-12-05,10405.0
p05,2019-12-06,17324.0
p05,2019-12-07,12651.0
p05,2019-12-08,8625.0
p05,2019-12-09,15261.0
p05,2019-12-10,9313.0
p05,2019-12-11,15552.0
p05,2019-12-12,13895.0
p05,2019-12-13,11194.0
p05,2019-12-14,11141.0
p05,2019-12-15,7020.0
p05,2019-12-16,13252.0
p05,2019-12-17,14061.0
p05,2019-12-18,7878.0
p05,2019-12-19,15900.0
p05,2019-12-20,11961.0
p05,2019-12-21,18690.0
p05,2019-12-22,9624.0
p05,2019-12-23,12368.0
p05,2019-12-24,10200.0
p05,2019-12-25,5347.0
p05,2019-12-26,3456.0
p05,2019-12-27,8479.0
p05,2019-12-28,9967.0
p05,2019-12-29,8598.0
p05,2019-12-30,11069.0
p05,2019-12-31,16043.0
p05,2020-01-01,8504.0
p05,2020-01-02,19895.0
p05,2020-01-03,14771.0
p05,2020-01-04,12945.0
p05,2020-01-05,12778.0
p05,2020-01-06,23971.0
p05,2020-01-07,20148.0
p05,2020-01-08,14449.0
p05,2020-01-09,18777.0
p05,2020-01-10,17022.0
p05,2020-01-11,14881.0
p05,2020-01-12,7931.0
p05,2020-01-13,15027.0
p05,2020-01-14,13772.0
p05,2020-01-15,12578.0
p05,2020-01-16,14739.0
p05,2020-01-17,12373.0
p05,2020-01-18,10486.0
p05,2020-01-19,14659.0
p05,2020-01-20,13595.0
p05,2020-01-21,12411.0
p05,2020-01-22,14971.0
p05,2020-01-23,10476.0
p05,2020-01-24,17760.0
p05,2020-01-25,16373.0
p05,2020-01-26,11198.0
p05,2020-01-27,10941.0
p05,2020-01-28,12031.0
p05,2020-01-29,11400.0
p05,2020-01-30,19763.0
p05,2020-01-31,14158.0
p05,2020-02-01,9115.0
p05,2020-02-02,12442.0
p05,2020-02-03,12086.0
p05,2020-02-04,11657.0
p05,2020-02-05,13709.0
p05,2020-02-06,10270.0
p05,2020-02-07,13738.0
p05,2020-02-08,13738.0
p05,2020-02-09,720.0
p05,2020-02-10,10720.0
